g,d.parameters.campaign,d.parameters.locationSurrounding,d.parameters.team,d.parameters.motive,d.parameters.targetGroup,d.coordinates._latitude,d.coordinates._longitude,d.deletedAt._seconds,d.deletedAt._nanoseconds,d.createdBy,d.uuid,d.createdAt._seconds,d.createdAt._nanoseconds,d.location._latitude,d.location._longitude,d.removedBy,d.updatedAt._seconds,d.updatedAt._nanoseconds,d.updatedBy,d.state,l._latitude,l._longitude,d.deletedBy,campaign
u1x0u8dm08,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen', 'Einkaufen', 'Freizeit ']",Liste 312,Verkehr + Wohnen,"['Fußgänger', 'Autofahrer', 'Radfahrer']",53.57294497772912,10.044618789106607,1582987365.0,459000000.0,rnZGqh1rknbt2ovU5RooDX71Yfb2,273d4d75-123d-430a-98bf-9a3ef802a057,1581781188,254000000,53.57294497772912,10.044618789106607,wg8ZnNFzQMUNv2sgygA41LqmHh63,1581781188,254000000,rnZGqh1rknbt2ovU5RooDX71Yfb2,removed,53.57294497772912,10.044618789106607,,Bürgerschaftswahl Hamburg
u2860jwd9y,Kommunalwahl München 2020,['Bildung'],,Wohnen + E-Behörden,"['Fußgänger', 'Autofahrer', 'Radfahrer']",48.19473692543279,11.610572542995214,,,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,274c0ff2-83ad-4c09-9e7c-30e67395bd25,1583424081,943000000,,,,1583424081,943000000,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,active,48.19473692543279,11.610572542995214,,Kommunalwahl München 2020
u281z4345k,Kommunalwahl München 2020,"['Straße', 'Bildung', 'Wohnen']",Lorenz,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.13284185835596,11.559139173477888,,,tCMUd3qv8zOXL7Kt7S46c6ELoGJ2,274c87c1-b469-41cd-a8a6-a8fdd5523155,1578756312,16000000,,,,1578756312,16000000,tCMUd3qv8zOXL7Kt7S46c6ELoGJ2,active,48.13284185835596,11.559139173477888,,Kommunalwahl München 2020
u1x0tn38uw,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen']",,Wohnen + Wohnen,"['Autofahrer', 'Fußgänger', 'Radfahrer']",53.559884265680765,10.065732132643461,1582986085.0,95000000.0,wg8ZnNFzQMUNv2sgygA41LqmHh63,275f1640-fbd9-43c3-a372-abee3fb1133a,1580060761,801000000,53.559884265680765,10.065732132643461,FvMZqZ9ggTTgblDN9ueBSC99Lw23,1580060761,802000000,wg8ZnNFzQMUNv2sgygA41LqmHh63,removed,53.559884265680765,10.065732132643461,,Bürgerschaftswahl Hamburg
u1x0uek10k,Bürgerschaftswahl Hamburg,"['Straße', 'Freizeit ', 'Wohnen', 'Bus']",Liste 312,Wohnen + Wohnen,"['Fußgänger', 'Autofahrer', 'Radfahrer']",53.58738504864675,10.047015007585287,1582970447.0,350000000.0,rnZGqh1rknbt2ovU5RooDX71Yfb2,27643dc0-fc95-4af2-891d-9e3e6b1d624b,1580637247,559000000,53.58738504864675,10.047015007585287,k9Q9No2bdibXe4rU2TsNWrqMMp63,1580637247,559000000,rnZGqh1rknbt2ovU5RooDX71Yfb2,removed,53.58738504864675,10.047015007585287,,Bürgerschaftswahl Hamburg
u281wzffee,,,Team Felix S.,Mobilität + Umwelt,,48.11919350138934,11.550561804324389,,,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,2767598b-5997-4171-9529-a13a2b31798e,1582546413,769000000,,,,1582546413,769000000,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,active,48.11919350138934,11.550561804324389,,nan
u281uffxzw,Kommunalwahl München 2020,"['Straße', 'Wohnen']",,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.13658642243291,11.46250119432807,,,GYM0k2tLEic5F6s88sbEzJYKrSC2,27738a97-48ea-4711-ad74-cdfcac5d36c8,1582462697,671000000,,,,1582462697,672000000,GYM0k2tLEic5F6s88sbEzJYKrSC2,active,48.13658642243291,11.46250119432807,,Kommunalwahl München 2020
u1x0bcynn8,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen']",Altona 2,Hafen + Hafen,"['Fußgänger', 'Radfahrer', 'Autofahrer']",53.579984182115695,9.885235223919153,1582975193.0,385000000.0,zMZXSe2xtOVciEXqThvtAJfx87p2,27a5c698-a024-470f-9706-002bb035d44c,1579963905,139000000,53.579984182115695,9.885235223919153,zMZXSe2xtOVciEXqThvtAJfx87p2,1579963905,140000000,zMZXSe2xtOVciEXqThvtAJfx87p2,removed,53.579984182115695,9.885235223919153,,Bürgerschaftswahl Hamburg
u281wpd89z,Kommunalwahl München 2020,"['U-Bahn', 'Straße']",,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.11749599012995,11.517183724790812,1584293834.0,541000000.0,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,27be42e3-b5ef-4f23-8296-974ebd963d06,1582547909,386000000,48.11749599012995,11.517183724790812,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,1582547909,386000000,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,removed,48.11749599012995,11.517183724790812,,Kommunalwahl München 2020
u1x0ehyusg,Bürgerschaftswahl Hamburg,"['Straße', 'Firma']",,Verkehr + Hafen,"['Autofahrer', 'Radfahrer', 'Fußgänger']",53.552273355444996,9.985062684863806,1582971429.0,866000000.0,PBGwt00TpcVaLoMXkwLAyWGPGnc2,27ca8a31-41f6-4ab7-98fc-21087ad0882f,1579906854,26000000,53.552273355444996,9.985062684863806,PBGwt00TpcVaLoMXkwLAyWGPGnc2,1582971430,660000000,PBGwt00TpcVaLoMXkwLAyWGPGnc2,removed,53.552273355444996,9.985062684863806,,Bürgerschaftswahl Hamburg
u1x0v0ee4v,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen']",,Wohnen + Patrick/Mira,"['Autofahrer', 'Fußgänger', 'U-bahn']",53.572625467079106,10.068405289202929,1583513267.0,919000000.0,YAT3giGPyJV5yfNyiCo54chlK4g2,27d151ad-88e8-4b34-a29b-af5b60dcade3,1579909925,283000000,53.572625467079106,10.068405289202929,EMn8AUHdI5cbQIYITA1swmDqm9q1,1579909925,284000000,YAT3giGPyJV5yfNyiCo54chlK4g2,removed,53.572625467079106,10.068405289202929,,Bürgerschaftswahl Hamburg
u0zez9p1k3,Bamberg,,,Mobilität + Umwelt,,49.88364438396636,10.886262450367212,1584525464.0,944000000.0,Yhr8OWCQtghwi4KTKOpvPb6hIYz2,27e93891-2738-4df8-b30e-e92ff3c491ee,1582750620,912000000,49.88364438396636,10.886262450367212,Yhr8OWCQtghwi4KTKOpvPb6hIYz2,1582750620,912000000,Yhr8OWCQtghwi4KTKOpvPb6hIYz2,removed,49.88364438396636,10.886262450367212,,Bamberg
u281z38csh,Kommunalwahl München 2020,"['Straße', 'Wohnen', 'Freizeit ', 'Essen']",Lorenz,Mobilität + Umwelt,"['Fußgänger', 'Radfahrer']",48.12863759872471,11.56981436535716,,,tCMUd3qv8zOXL7Kt7S46c6ELoGJ2,27fa219a-3eac-439d-8206-672ffbd1d3b2,1581777650,746000000,,,,1581777650,746000000,tCMUd3qv8zOXL7Kt7S46c6ELoGJ2,active,48.12863759872471,11.56981436535716,,Kommunalwahl München 2020
u1x0dgztsu,Bürgerschaftswahl Hamburg,,Altona 1,Verkehr + Wohnen,,53.54695716929559,9.97510900720954,1582968430.0,451000000.0,FPfRO5KQ74biKXZSTAzQ9KuymZx1,2807b597-d4c5-4606-86cf-319ed7d56f64,1579967340,757000000,53.54695716929559,9.97510900720954,PBGwt00TpcVaLoMXkwLAyWGPGnc2,1579967340,757000000,FPfRO5KQ74biKXZSTAzQ9KuymZx1,removed,53.54695716929559,9.97510900720954,,Bürgerschaftswahl Hamburg
u1x0dz35xu,,,,Wohnen + Hafen + Mira&Patrick,,53.56583839823694,9.96630834415555,1581030841.0,983000000.0,qQjF8P3MXhSMAwaUJrARJICz3Y33,280b9225-ab60-4502-9016-8d23a058117d,1579963810,379000000,53.56583839823694,9.96630834415555,dfEvUvtCz9SxbB4v6TEbfJHPXml1,1579963810,380000000,qQjF8P3MXhSMAwaUJrARJICz3Y33,removed,53.56583839823694,9.96630834415555,,nan
u1x0exh0cj,Bürgerschaftswahl Hamburg,['Einkaufen'],,Verkehr + Wohnen,['Radfahrer'],53.564001572125335,10.00310255214572,1582993105.0,279000000.0,FvMZqZ9ggTTgblDN9ueBSC99Lw23,280dccb4-004e-4365-885c-6b7dbd2a5e2f,1579080130,812000000,53.564001572125335,10.00310255214572,FvMZqZ9ggTTgblDN9ueBSC99Lw23,1579080130,812000000,FvMZqZ9ggTTgblDN9ueBSC99Lw23,removed,53.564001572125335,10.00310255214572,,Bürgerschaftswahl Hamburg
u1x09stvgz,Bürgerschaftswahl Hamburg,,Altona 1,Verkehr + Patrick/Mira,,53.55113660320475,9.91773521527648,1581030572.0,876000000.0,dfEvUvtCz9SxbB4v6TEbfJHPXml1,28107631-51a7-4420-9cf6-b31913b7b490,1580035744,543000000,53.55113660320475,9.91773521527648,dfEvUvtCz9SxbB4v6TEbfJHPXml1,1580035744,544000000,dfEvUvtCz9SxbB4v6TEbfJHPXml1,removed,53.55113660320475,9.91773521527648,,Bürgerschaftswahl Hamburg
u1x0ewg76u,Bürgerschaftswahl Hamburg,['U-Bahn'],,Verkehr + Philipp,['Fußgänger'],53.563049327992154,10.00214433297515,1582993098.0,347000000.0,FvMZqZ9ggTTgblDN9ueBSC99Lw23,2816ff82-581a-4bd0-82b5-2c5ff3a3373b,1579080041,822000000,53.563049327992154,10.00214433297515,FvMZqZ9ggTTgblDN9ueBSC99Lw23,1579080041,824000000,FvMZqZ9ggTTgblDN9ueBSC99Lw23,removed,53.563049327992154,10.00214433297515,,Bürgerschaftswahl Hamburg
u2839h80pt,Kommunalwahl München 2020,"['U-Bahn', 'Essen', 'Firma', 'Einkaufen']",Team Fußbus,Mobilität + Umwelt,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.10091876530807,11.645838562399149,1584456946.0,59000000.0,neq53qFDHOcsdmzELehckJ5o5rG3,2819b84d-1c09-4ce5-a3b2-cdeb124d194a,1578152841,46000000,48.10091876530807,11.645838562399149,QQKOOM53abg5uc0gDRGPiiyoqa83,1578152841,130000000,neq53qFDHOcsdmzELehckJ5o5rG3,removed,48.10091876530807,11.645838562399149,,Kommunalwahl München 2020
u281ymvw16,Kommunalwahl München 2020,"['U-Bahn', 'Freizeit ', 'Wohnen', 'Parkplatz']",,Kandidaten,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.15274504607049,11.532269138842821,1584775973.0,849000000.0,jN38LSISX0WzWz1ofgRho88c3J52,282348e9-e020-444b-a324-24df735af004,1582577172,114000000,48.15274504607049,11.532269138842821,HgM385Ff84YmItF4qjVY8OGvuih2,1584607960,232000000,HgM385Ff84YmItF4qjVY8OGvuih2,removed,48.15274504607049,11.532269138842821,,Kommunalwahl München 2020
u281wzcnvf,Kommunalwahl München 2020,['Freizeit '],Team Felix S.,Mobilität + Umwelt,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.11991733734275,11.548251416534185,,,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,28277fed-0bc1-40ce-ad7b-044b8c958d04,1578219912,13000000,,,,1578219912,13000000,WXScAn7vj5Rwikf3JuMRQbZ6HQK2,active,48.11991733734275,11.548251416534185,,Kommunalwahl München 2020
